 34.500000	-0.009225	-0.000007	0.000037	-4.972225	79.204639	357.999999	0.000000	10.285000	0.000000	0.000000	0.000000	-22.704208	140.000000	0.369425	-42086.947284	-176765.178593	-22.704208	140.000000	0.369425	-42086.944668	176765.167606
35.000000	-0.015324	0.000007	-0.000034	-4.972009	79.198431	358.000000	0.000000	25.410000	0.000000	0.000000	0.000000	-20.233991	140.000000	0.897175	-34418.744696	-144558.727724	-20.233991	140.000000	0.897175	-34418.758022	144558.783694
35.500000	-0.020002	-0.000006	0.000030	-4.971698	79.189547	357.999999	0.000000	40.535000	0.000000	0.000000	0.000000	-16.528665	140.000000	1.424925	-28064.481570	-117870.822593	-16.528665	140.000000	1.424925	-28064.466811	117870.760605
36.000000	-0.023647	0.000005	-0.000027	-4.971316	79.178595	357.999999	0.000000	55.660000	0.000000	0.000000	0.000000	-14.058448	140.000000	1.952675	-22581.576790	-94842.622520	-14.058448	140.000000	1.952675	-22581.585272	94842.658142
36.500000	-0.026332	-0.000004	0.000022	-4.970878	79.166064	357.999999	0.000000	70.785000	0.000000	0.000000	0.000000	-10.353123	140.000000	2.480425	-17056.269983	-71636.333927	-10.353123	140.000000	2.480425	-17056.263620	71636.307206
37.000000	-0.028094	0.000004	-0.000018	-4.970402	79.152425	357.999999	0.000000	85.910000	0.000000	0.000000	0.000000	-7.882906	140.000000	3.008175	-11501.274806	-48305.354185	-7.882906	140.000000	3.008175	-11501.277199	48305.364237
37.500000	-0.028955	0.000015	0.000058	-4.969901	79.138133	358.000004	0.423995	101.035000	1.101310	519.598432	15324.516549	-4.177580	140.000000	3.535925	-5926.574750	-24891.613948	-4.177580	140.000000	3.535925	-5926.588081	24891.669938
38.000000	-0.028940	0.000115	0.000352	-4.969366	79.123633	358.000090	1.610978	116.160000	2.674610	1697.687429	50069.895356	-1.707363	140.000000	4.063675	-406.624788	-1707.824108	-1.707363	140.000000	4.063675	-406.639299	1707.885056
38.500000	-0.028446	0.000320	0.001106	-4.968760	79.109291	358.000414	4.388932	131.285000	4.247910	3462.628064	102123.289480	0.901261	140.000000	4.460912	3725.561852	15647.359778	-0.000001	140.000000	4.091616	-6.290655	26.420752
39.000000	-0.027659	0.000594	0.002693	-4.968042	79.095275	358.001323	6.582765	146.410000	4.720000	4821.755483	142208.034451	2.704888	140.000000	4.988662	9221.424565	38729.983172	-0.000000	140.000000	3.827741	-2639.211427	11084.687995
39.500000	-0.026829	0.000874	0.004882	-4.967201	79.081675	358.003175	8.417531	161.535000	4.720000	5867.928965	173062.828976	5.410329	140.000000	5.516412	14724.850716	61844.373007	-3.705325	140.000000	3.299991	-8193.722906	34413.636205
40.000000	-0.025974	0.001170	0.007606	-4.966231	79.068499	358.006252	9.765031	176.660000	4.720000	7016.369896	206933.797334	7.213957	140.000000	6.044162	20236.526194	84993.410016	-6.175542	140.000000	2.772241	-13762.040997	57800.572189
40.500000	-0.025047	0.001502	0.010864	-4.965121	79.055771	358.010822	11.973781	191.785000	4.720000	8266.937528	243816.788508	9.919397	140.000000	6.432367	24950.323747	104791.359737	-9.880868	140.000000	2.382549	-17976.246190	75500.233996
41.000000	-0.024027	0.001890	0.014328	-4.963850	79.043539	358.017087	13.571281	206.910000	4.720000	9619.734522	283714.830250	10.000000	140.000000	6.432454	24947.706858	104780.368805	-10.000000	140.000000	2.382454	-17968.858127	75469.204133
41.500000	-0.022964	0.002345	0.017962	-4.962389	79.031835	358.025119	16.155031	222.035000	4.720000	11074.723212	326626.811697	10.000000	140.000000	6.432454	24943.167189	104761.302195	-10.000000	140.000000	2.382454	-17959.173337	75428.528013
42.000000	-0.021881	0.002921	0.022095	-4.960698	79.020676	358.035053	18.002531	237.160000	5.506650	14670.087312	432664.885100	10.000000	140.000000	6.432454	24938.319896	104740.943562	-10.000000	140.000000	2.382454	-17949.243880	75386.824297
42.500000	-0.020603	0.003853	0.027914	-4.958652	79.010096	358.047434	27.999776	241.999999	7.053770	19717.225467	581520.130691	10.901814	140.000000	6.801879	30142.276357	126597.560700	-10.000000	140.000000	2.382454	-17938.468611	75341.568167
43.000000	-0.018675	0.004826	0.034518	-4.956141	79.000340	358.062989	29.999986	242.000000	7.080000	19781.449956	583414.303562	12.705441	140.000000	7.329629	37807.729327	158792.463174	-10.000000	140.000000	2.118579	-20579.855619	86435.393601
43.500000	-0.016477	0.005639	0.041141	-4.953224	78.991640	358.081844	30.000000	242.000000	7.080000	19758.055865	582724.341640	15.410882	140.000000	7.857379	45487.766564	191048.619568	-13.705325	140.000000	1.590829	-26085.301799	109558.267554
44.000000	-0.014057	0.006365	0.047932	-4.949967	78.984105	358.104043	30.000000	242.000000	7.080000	19735.214143	582050.670714	17.214509	140.000000	8.385129	53183.660021	223371.372086	-16.175542	140.000000	1.063079	-31726.005199	133249.221835
44.500000	-0.011523	0.007076	0.055094	-4.946398	78.977827	358.129724	30.000000	242.000000	7.080000	19711.666408	581356.177378	19.919950	140.000000	8.773206	59003.777896	247815.867164	-19.880868	140.000000	0.673387	-37520.242587	157585.018867
45.000000	-0.008960	0.007808	0.062232	-4.942513	78.972833	358.159003	30.000000	242.000000	7.080000	19688.114389	580661.557677	20.000000	140.000000	8.773293	58988.511754	247751.749366	-20.000000	140.000000	0.673293	-37500.176098	157500.739610
45.500000	-0.006386	0.008570	0.069207	-4.938299	78.969132	358.191809	30.000000	242.000000	7.080000	19664.864901	579975.860535	20.000000	140.000000	8.773293	58971.727206	247681.254264	-20.000000	140.000000	0.673293	-37478.260602	157408.694529
